id,candidate,candidate_confidence,relevant_yn,relevant_yn_confidence,sentiment,sentiment_confidence,subject_matter,subject_matter_confidence,candidate_gold,name,relevant_yn_gold,retweet_count,sentiment_gold,subject_matter_gold,text,tweet_coord,tweet_created,tweet_id,tweet_location,user_timezone
1820,No candidate mentioned,1,yes,1,Negative,1,Abortion,0.6595,,noduhasif,,0,,,My first executive order? Defund planned parenthood! Because that's the most important issue. Wtf. #GOPDebate,,8/7/2015 9:37,6.29693E+17,,Arizona
1821,Ben Carson,1,yes,1,Negative,0.6591,Racial issues,1,,ercahn,,27,,,RT @rantoddj: Of course they ask Ben Carson the signature 'race relations' question. His response? #GOPDebate http://t.co/pQkLCTmqKQ,,8/7/2015 9:37,6.29693E+17,"Washington, DC",
1822,No candidate mentioned,0.3765,yes,0.6136,Neutral,0.3068,None of the above,0.3765,,noahhamstra,,9,,,RT @prophiphop: Last night was like oh #GOPDebate on let's see what these boys is takin abou....... WHAT #Compton IS STREAMMING?!,,8/7/2015 9:37,6.29693E+17,,Arizona
1823,No candidate mentioned,1,yes,1,Neutral,1,None of the above,1,,TowersFern,,1,,,"RT @JoeTalkShow: I'll bet you have some strong opinions on the most-watched debate in history.  So do I.. http://t.co/3KrWyxTqaJ 
#GOPDebate",,8/7/2015 9:37,6.29693E+17,,
1824,No candidate mentioned,1,yes,1,Negative,1,Racial issues,1,,taylorlove858,,87,,,"RT @Jocklaflair: ""What about Black liv-...... Let's cut to commercial."" #GOPDebate",,8/7/2015 9:37,6.29693E+17,,
1825,No candidate mentioned,1,yes,1,Negative,1,Racial issues,1,,PrincessMillery,,0,,,now we'll move to talk about racial issues in ame..WAIT BREAKING NEWS SCARY RUSSIANS TELL US HOW YOU WOULD SCARE THE PEOPLE BEST #GOPDebate,,8/7/2015 9:37,6.29693E+17,,Atlantic Time (Canada)
1826,No candidate mentioned,0.4492,yes,0.6702,Neutral,0.6702,None of the above,0.4492,,greenspaceguy,,0,,,@HuntsmanAbby @PeteDominick #GOPDebate Mission Statement: Tell morepeople that U love them U neverknow how much they might need it -C Brogan,,8/7/2015 9:37,6.29693E+17,Michigan,Central Time (US & Canada)
1827,No candidate mentioned,0.4649,yes,0.6818,Neutral,0.6818,None of the above,0.4649,,brookeproietto,,1144,,,RT @AlexAllTimeLow: Facebook logo for president. #GOPDebate,,8/7/2015 9:37,6.29693E+17,nj,
1828,Mike Huckabee,1,yes,1,Negative,0.6701,LGBT issues,0.6701,,FinnCubbins,,30,,,"RT @TheLadyValor: @GovMikeHuckabee I was the best of the best #NavySEAL .... I am twice the man that you could ever be!
#GOPDebate http://t…",,8/7/2015 9:37,6.29693E+17,"Nashville, TN & Phoenix, AZ",Mountain Time (US & Canada)
1829,No candidate mentioned,0.4076,yes,0.6384,Negative,0.3277,None of the above,0.4076,,montannaleigh,,157,,,RT @OnlyInBOS: My closing statement. #GOPDebate http://t.co/OiJj85PC35,,8/7/2015 9:37,6.29693E+17,Boston,Eastern Time (US & Canada)
1830,Jeb Bush,0.4599,yes,0.6782,Positive,0.3448,Women's Issues (not abortion though),0.4599,,jm_nieves,,237,,,"RT @FoxNews: .@JebBush: As governor of Florida, I defunded #PlannedParenthood. I created a culture of life in our state #GOPDebate http://t…",,8/7/2015 9:37,6.29693E+17,Bogotá,
1831,Ben Carson,0.4444,yes,0.6667,Negative,0.3542,None of the above,0.4444,,zolly_b,,55,,,RT @MrGeorgeWallace: Ben Carson's a doctor. Maybe he can check the audience for a pulse. #GOPDebate,,8/7/2015 9:37,6.29693E+17,,Eastern Time (US & Canada)
1832,Marco Rubio,1,yes,1,Positive,1,None of the above,1,,InsideSourcesDC,,1,,,"RT @GrahamVyse: Writing for @InsideSourcesDC, @ErinMcPike argues last night was a good night for @marcorubio: http://t.co/8TE0NZqhRv #GOPDe…",,8/7/2015 9:37,6.29693E+17,"Washington, D.C.",Atlantic Time (Canada)
1833,Ben Carson,1,yes,1,Positive,1,None of the above,1,,LadyRebel69,,864,,,RT @megynkelly: .@brithume: Best closing statement was @RealBenCarson #GOPDebate,,8/7/2015 9:37,6.29693E+17,,
1834,No candidate mentioned,1,yes,1,Neutral,0.354,None of the above,1,,96Suns,,1,,,"@sallykohn Substantive, vigorous, revealing....it was probably just over your head. #GOPDebate",,8/7/2015 9:37,6.29693E+17,Mid-America,Central Time (US & Canada)
1835,Donald Trump,1,yes,1,Negative,0.6667,Jobs and Economy,1,,ilirprogri_pb,,0,,,Why the national debt is increasing instead of decreasing? @realDonaldTrump and I will solve this problem! #GOPDebate #Inconsistent,,8/7/2015 9:37,6.29693E+17,@GiftetInc,
1836,No candidate mentioned,0.4442,yes,0.6664,Negative,0.6664,FOX News or Moderators,0.2441,,joycee_NH,,21,,,RT @EyeOnPolitics: Megan Kelly's voicemail is going to be full of angry messages tomorrow. She's not making any friends on that stage tonig…,,8/7/2015 9:37,6.29693E+17,USA,Central Time (US & Canada)
1837,No candidate mentioned,1,yes,1,Negative,1,None of the above,1,,Spark_to_Write,,0,,,I who have carefully avoided the #GOPDebate have finally heard comments in the lunchroom at work. #sadFace,,8/7/2015 9:37,6.29693E+17,Where the Sidewalk Ends,
1838,No candidate mentioned,1,yes,1,Negative,1,Abortion,0.6633,,2sense2,,4,,,"RT @pppatticake: . @jojokejohn @milesjreed @MikeLoBurgio @Astorix23 ""@HaroldItz: #GOPDebate Jr: New Graham slogan: ""I Can't Wait to Kill Yo…",,8/7/2015 9:37,6.29693E+17,USA ,Atlantic Time (Canada)
1839,No candidate mentioned,1,yes,1,Negative,1,Racial issues,0.3478,,ChrisJZullo,,16,,,"Last night they could have have raised their hands. I'm a spoiled billionaire, I'm an oligarch, I'm a racist, I'm a religious nut #GOPDebate",,8/7/2015 9:37,6.29693E+17,The United States of America,Eastern Time (US & Canada)
1840,No candidate mentioned,0.4688,yes,0.6847,Negative,0.6847,None of the above,0.4688,,MeritNotParty,,0,,,@steelhamster Here's a clip from #GOPDebate https://t.co/x2Vae3WR3M,,8/7/2015 9:37,6.29693E+17,In Sane,Eastern Time (US & Canada)
1841,No candidate mentioned,1,yes,1,Negative,0.7128,None of the above,0.6596,,djromeo,,0,,,Yup. This happened....#GOP #GOPDebate #Republican #teaparty #Conservative http://t.co/lSgAIGj6kR,,8/7/2015 9:37,6.29693E+17,,
1842,Donald Trump,1,yes,1,Negative,1,FOX News or Moderators,1,,slopokejohn,,162,,,"RT @JohnGGalt: This is a manufactured hit job on Donald Trump, Fox News has no class and it's transparent and pathetic, makes me sick. #GOP…",,8/7/2015 9:37,6.29693E+17,All 48 states,
1843,Donald Trump,1,yes,1,Negative,1,FOX News or Moderators,1,,AllThingsFlynn,,1,,,This Trump vs. Fox News conflict is quite the conundrum. It’s like the personification of Greed vs. Hate. Who do I root for!?! #GOPDebate,,8/7/2015 9:37,6.29693E+17,"Smithtown, NY ",
1844,No candidate mentioned,1,yes,1,Negative,0.6444,Religion,1,,frelling_cute,,99,,,RT @MattyIceAZ: This is the part of the debate when candidates pander to God for his endorsement. #GOPDebate,,8/7/2015 9:36,6.29693E+17,"S.F Bay Area, CA.",Pacific Time (US & Canada)
1845,No candidate mentioned,0.6235,yes,1,Negative,1,None of the above,0.6235,,alabamafan2,,0,,,Dems are terrified b/c they know a conservative will b next president &amp; they won't be able to dismember babies &amp; sell body parts. #GOPDebate,,8/7/2015 9:36,6.29693E+17,Georgia,Eastern Time (US & Canada)
1846,Donald Trump,0.4444,yes,0.6667,Positive,0.6667,None of the above,0.4444,,cuprado,,0,,,Public policy and the #gopdebate or why #donaldtrump is winning. http://t.co/2Tv5M6onVo,,8/7/2015 9:36,6.29693E+17,"Central, SC",Eastern Time (US & Canada)
1847,No candidate mentioned,1,yes,1,Negative,0.6769,None of the above,1,,emwilks20,,0,,,I'm still a little sick to my stomach from watching the GOP debate. Not enough booze in the world to handle that monstrosity. #GOPDebate,,8/7/2015 9:36,6.29693E+17,"MN by birth, Rockies by heart",Central Time (US & Canada)
1848,Donald Trump,1,yes,1,Neutral,0.6413,None of the above,1,,jojo21,,8,,,RT @mVespa1: Donald Trump Refuses to Rule Out Third Party Run on GOP Debate Stage  http://t.co/i4YywfLSy2 #tcot #GOPdebate,,8/7/2015 9:36,6.29693E+17,"Ellicott City, Maryland",Eastern Time (US & Canada)
1849,No candidate mentioned,1,yes,1,Negative,0.6689,None of the above,1,,lbidd54,,2,,,RT @leiboaz: Each #GOPdebate should be staged with one chair too few. Loser left standing banished to the fighting pits of Mereen.,,8/7/2015 9:36,6.29693E+17,,
1850,Donald Trump,1,yes,1,Negative,1,None of the above,1,,LarryPDonnelly,,0,,,This is that rare instance when I have to agree with @IAMMGraham. @realDonaldTrump's performance in the #GOPDebate will hurt him. @ghook,,8/7/2015 9:36,6.29693E+17,,
1851,No candidate mentioned,1,yes,1,Negative,0.6813,None of the above,1,,HeyThereWoWo,,19,,,RT @LgnCtn: .@instagram and @facebook need to free the @Dreamdefenders acct. #KKKorGOP is a legitimate convo highlighting real concerns. #G…,,8/7/2015 9:36,6.29693E+17,,Hawaii
1852,Donald Trump,0.6949,yes,1,Negative,1,Women's Issues (not abortion though),0.6413,,mortalcassie,,0,,,"Yeah, how dare that birch stand up for women's issues?  So much respect for @megynkelly now. #GOPDebate  https://t.co/k7E0ttVsKO",,8/7/2015 9:36,6.29693E+17,724,Eastern Time (US & Canada)
1853,No candidate mentioned,1,yes,1,Negative,0.6703,None of the above,0.6593,,blippitybloop,,222,,,"RT @runolgarun: I made a #GOPdebate bingo card if anyone wants to play me, I've already got four squares so u better watch out http://t.co/…",,8/7/2015 9:36,6.29693E+17,,
1854,No candidate mentioned,1,yes,1,Positive,0.6791,FOX News or Moderators,1,,UNCCH71,,40,,,"RT @bensherwood: Across the TV news aisle, a salute to Chris Wallace, @BretBaier and @megynkelly @FoxNews for smart, sharp, unflinching que…",,8/7/2015 9:36,6.29693E+17,"Greenville, NC",Eastern Time (US & Canada)
1855,Mike Huckabee,1,yes,1,Negative,1,LGBT issues,1,,FinnCubbins,,8,,,RT @Elb3001: #GOPDebate screw you @GovMikeHuckabee look up @TheLadyValor and see how transgender ppl serve this country in our military!,,8/7/2015 9:36,6.29693E+17,"Nashville, TN & Phoenix, AZ",Mountain Time (US & Canada)
1856,No candidate mentioned,1,yes,1,Positive,0.3549,None of the above,1,,rosyliciousxx,,7,,,RT @rmuench22: This. Is. EVERYTHING. #GOPDebate #HillaryForPresident http://t.co/WrDBMfApbm,,8/7/2015 9:36,6.29693E+17,Miami,Eastern Time (US & Canada)
1857,No candidate mentioned,1,yes,1,Negative,0.6489,None of the above,1,,BrianBHorne,,0,,,"I didn't watch the #GOPDebate last night. Is this accurate?

http://t.co/pY3rhCMCBH",,8/7/2015 9:36,6.29693E+17,,
1858,No candidate mentioned,1,yes,1,Positive,1,None of the above,1,,peglegmorris,,2,,,RT @sydneyvl24: Cautiously optimistic is how I feel the morning after. #GOPDebate,,8/7/2015 9:36,6.29693E+17,,
1859,No candidate mentioned,1,yes,1,Negative,1,None of the above,1,,sheila14all,,97,,,"RT @sallykohn: Well that was a giant, depressing hot mess.

#GOPDebate",,8/7/2015 9:36,6.29693E+17,The Great State of Texas.  :),
1860,No candidate mentioned,0.4395,yes,0.6629,Positive,0.6629,FOX News or Moderators,0.2235,,zendga_steve,,191,,,"RT @peddoc63: Go Carly📢
Go Carly📢
Go Carly📢
@CarlyFiorina #Carly2016 #GOPDebate
@steph93065 @MaydnUSA @LessGovMoreFun http://t.co/oheKLwZARc",,8/7/2015 9:36,6.29693E+17,,
1861,No candidate mentioned,1,yes,1,Negative,0.6608,None of the above,1,,anedaigle18,,10,,,"RT @IanSams: On #VRA50, the Voting Rights Act wasn't mentioned in the #GOPDebate.

Sadly not shocking. That's why HRC took 'em on. http://t…",,8/7/2015 9:36,6.29693E+17,florida usa,
1862,No candidate mentioned,1,yes,1,Negative,0.6747,None of the above,1,,JaysWorldLive,,1,,,Why should he?  It's already been said.  Would apology be believable?  #GOPDebate  https://t.co/1mUbzwAMWu,,8/7/2015 9:36,6.29693E+17,"Tamap, FL",Eastern Time (US & Canada)
1863,Marco Rubio,1,yes,1,Negative,0.6848,Foreign Policy,1,,TheBaxterBean,,13,,,Yes Marco Rubio Actually Said The Iraq Invasion 'Was Not A Mistake' http://t.co/xRowKHyMm1 #GOPDebate http://t.co/vjMjdMByHV,,8/7/2015 9:36,6.29693E+17,lux et veritas,Eastern Time (US & Canada)
1864,Donald Trump,1,yes,1,Negative,1,None of the above,0.6462,,Arizonadog1,,1,,,RT @DNchef: @jjauthor @yewkalaylee @learjetter @megynkelly @realDonaldTrump ...whether you support him or not. it was shameful. #GOPDebate,,8/7/2015 9:36,6.29693E+17,Phoenix AZ,
1865,No candidate mentioned,1,yes,1,Neutral,0.6484,None of the above,1,,Webermore,,1050,,,RT @richardroeper: Hillary Clinton right now. #GOPDebate http://t.co/RFqoPQbzGk,,8/7/2015 9:36,6.29693E+17,,Eastern Time (US & Canada)
1866,Mike Huckabee,1,yes,1,Negative,0.6701,None of the above,0.6907,,hazelbroom,,1,,,RT @Saille: My takeaway is that Mike Huckabee's going to privatize the military and hire the Vogons. #GOPDebate,,8/7/2015 9:36,6.29693E+17,SFO,Pacific Time (US & Canada)
1867,Donald Trump,1,yes,1,Negative,1,None of the above,1,,AldoMito,,165,,,"RT @MikeDrucker: ""If you elect me, I'll be the best comic book villain president you've ever seen!"" - Donald Trump #GOPDebate",,8/7/2015 9:36,6.29693E+17,,Eastern Time (US & Canada)
1868,Donald Trump,1,yes,1,Negative,1,FOX News or Moderators,1,,steviecoolest,,1,,,"#GOPDebate
Cands/Mods: Trump, you can't run independent! We'll lose!
Me: Your last pick said http://t.co/c2r0qZdexv was a real live person.",,8/7/2015 9:36,6.29693E+17,On the web & in your hearts,Central Time (US & Canada)
1869,No candidate mentioned,1,yes,1,Neutral,0.6668,None of the above,1,,P_S_H_C,,9,,,"RT @polly: First #GOPDebate of 2016 race: 16% of U.S. homes with TVs watched
First GOP debate of 2012 race: 5% 
http://t.co/spqlTqG2Fw",,8/7/2015 9:36,6.29693E+17,,Pacific Time (US & Canada)
1870,No candidate mentioned,1,yes,1,Negative,1,None of the above,0.6395,,teresa_blythe,,2,,,"RT @iRreverin: Thought I was watching a political function, but I feel like I've just been to church. And not in a good way. #GOPDebate #in…",,8/7/2015 9:36,6.29693E+17,"Phoenix, AZ",
1871,No candidate mentioned,0.4302,yes,0.6559,Negative,0.3441,None of the above,0.4302,,socceris_life,,19,,,RT @afroCHuBBZ: For more information visit http://t.co/8aUPR2VS6Z #KKKorGOP #GOPDebate  #GOP http://t.co/OpEDgSKHGp,,8/7/2015 9:36,6.29693E+17,,Quito
1872,Rand Paul,0.6932,yes,1,Negative,1,Foreign Policy,0.6932,,HirschPolitics,,244,,,"RT @MattyIceAZ: Rand Paul claims ""We didn't create ISIS.""
Jeb Bush interrupts, ""We didn't, but my brother did.""
#GOPDebate",,8/7/2015 9:36,6.29693E+17,Md/Va/Dc,
1873,No candidate mentioned,0.6559,yes,1,Positive,0.3441,FOX News or Moderators,1,,drginareghetti,,233,,,"RT @DeenaZaruCNN: .@RealBenCarson: Thank you Megyn, I wasn't sure I was going to to get to talk again #GOPDebate http://t.co/GNnn9idoNs",,8/7/2015 9:36,6.29693E+17,"Warren, Ohio -U.S.A.-",Eastern Time (US & Canada)
1874,No candidate mentioned,1,yes,1,Negative,0.6702,Immigration,0.6702,,EusebiaAq,,0,,,Who's the real illegal alien #GOPDebate - Farrakhan on #Election2016  Immigration &amp; the Mexican Bor... https://t.co/lkLfFN2LFy via @YouTube,,8/7/2015 9:36,6.29693E+17,America,Eastern Time (US & Canada)
1875,No candidate mentioned,1,yes,1,Negative,0.6452,Foreign Policy,0.6667,,ScottTrace,,1,,,"My only #GOPdebate comment: They're unanimous re: defunding women's health care, &amp;  killing Iran nuclear deal - prefer a military solution.",,8/7/2015 9:36,6.29693E+17,"Desert Cities ( So Cal,USA)",Pacific Time (US & Canada)
1876,Donald Trump,1,yes,1,Negative,0.3596,None of the above,1,,wordsofaweasley,,1,,,RT @MakinH15TORY: Lol @ Trump #GOPDebate,,8/7/2015 9:36,6.29693E+17,,Eastern Time (US & Canada)
1877,No candidate mentioned,0.3765,yes,0.6136,Neutral,0.6136,None of the above,0.3765,,derekahunter,,1,,,Up next we get #GOPDebate reaction from @dbongino. @WBALRadio and http://t.co/wTDQ8gmvEl,,8/7/2015 9:36,6.29693E+17,Earth,Quito
1878,No candidate mentioned,1,yes,1,Neutral,1,None of the above,0.6648,,WillenaHalbur,,1,,,"RT @EricTTung: ""I never heard the word income equality, climate change, voting rights."" via @BarbaraBoxer #GOPDebate",,8/7/2015 9:36,6.29693E+17,,
1879,No candidate mentioned,1,yes,1,Negative,0.6728,Gun Control,1,,GoodTwitty,,37,,,RT @shannonrwatts: 18 states have done what congress won't - closed background check loophole. We need the next President to ACT #GOPDebate…,,8/7/2015 9:36,6.29693E+17,State of Mind,Atlantic Time (Canada)
1880,No candidate mentioned,0.4113,yes,0.6413,Positive,0.3261,,0.23,,rhUSMC,,34,,,RT @megynkelly: Tune in! #KellyFile is LIVE from the #GOPDebate http://t.co/O9S38ELWo5,,8/7/2015 9:36,6.29693E+17,AZ USA,
1881,No candidate mentioned,1,yes,1,Neutral,1,Healthcare (including Medicare),1,,GingerMarin,,37,,,"RT @AdamSmith_USA: Hey @GOP, @HillaryClinton has a few words for you regarding reproductive healthcare: #GOPDebate http://t.co/4SfORBTCap",,8/7/2015 9:36,6.29693E+17,,Central Time (US & Canada)
1882,Donald Trump,1,yes,1,Negative,0.6804,Immigration,0.6495,,SantosRaymond7,,0,,,#GOPDebate Donald Trump hates Mexicans? http://t.co/Ut1zaW9vK4,,8/7/2015 9:36,6.29693E+17,,
1883,No candidate mentioned,1,yes,1,Negative,0.6452,Racial issues,1,,Twarezline,,1,,,"RT @nicole473: #GOPDebate Spends Less Than A Minute On Police Violence And Black Lives Matter
http://t.co/V2qIrWDw5K
#BlackLivesMatter",,8/7/2015 9:36,6.29693E+17,,
1884,No candidate mentioned,1,yes,1,Negative,1,Women's Issues (not abortion though),0.6655,,encomstron,,0,,,A lot of candidates are all about defending #PlannedParenthood but never mention take away a rapist's parental rights #GOPDebate,,8/7/2015 9:36,6.29693E+17,"South Jersey, USA",Eastern Time (US & Canada)
1885,Ted Cruz,1,yes,1,Neutral,0.6512,None of the above,0.686,,bonniebo40,,101,,,RT @RickCanton: #CruzCrew - no amnesty. Of course. Most Constitutionally sound candidate. #GOPDebate http://t.co/0Y54WTIstm,,8/7/2015 9:36,6.29693E+17,NW Wyoming & NW Montana,Mountain Time (US & Canada)
1886,Chris Christie,1,yes,1,Neutral,0.6716,None of the above,0.6689,,dhniels,,0,,,"Remember how @ChrisChristie called Rand's tireless defense of the #4thAmendment ""blowing hot air?"" #GOPDebate",,8/7/2015 9:36,6.29693E+17,"St George, UT",Mountain Time (US & Canada)
1887,No candidate mentioned,1,yes,1,Positive,0.6596,None of the above,1,,CalexQuint,,1,,,RT @_Ms_Bee: Very interesting.#GOPDebate  https://t.co/6INkmV9KZw,,8/7/2015 9:36,6.29693E+17,"My heart lives in Ibiza, Spain",Central Time (US & Canada)
1888,Ted Cruz,0.6478,yes,1,Positive,0.6478,Foreign Policy,1,,daniel_rusman,,589,,,RT @tedcruz: Over the past six years we've seen the results of the Obama-Clinton foreign policy. Leading from behind is a disaster. #GOPDeb…,,8/7/2015 9:36,6.29693E+17,,
1889,No candidate mentioned,1,yes,1,Negative,1,Religion,1,,WendyKnox64,,111,,,RT @cowboytexas: Proof #GOPDebate Republicans and @FoxNews need an education on separation of church and state. http://t.co/eyJVwGxe3f,,8/7/2015 9:36,6.29693E+17,,
1890,Ted Cruz,1,yes,1,Positive,1,None of the above,1,,lorizellmill,,205,,,"RT @BuckSexton: Ted Cruz is positioning himself as all the fight and fury of Trump, without the unpredictability. Smart move. #GOPDebate",,8/7/2015 9:36,6.29693E+17,,
1891,No candidate mentioned,1,yes,1,Negative,0.6667,Women's Issues (not abortion though),0.6667,,AshleyInCalif,,38,,,RT @UnSlutProject: Who won the #GOPDebate? Not women.,,8/7/2015 9:36,6.29693E+17,"San Jose, CA",Pacific Time (US & Canada)
1892,No candidate mentioned,0.6477,yes,1,Neutral,0.6477,None of the above,1,,hart_jerm,,0,,,Love this. https://t.co/XrMOId5bdK #StandWithRand #GOPDebate,,8/7/2015 9:36,6.29693E+17,Carolina,Eastern Time (US & Canada)
1893,Donald Trump,1,yes,1,Negative,1,None of the above,1,,KipLetter,,1,,,"RT @djmorris55: .@realDonaldTrump calls 3rd party talk ""leverage."" Sounds like extortion. Pick me or I'll make you lose. #gopdebate @Kiplin…",,8/7/2015 9:36,6.29693E+17,Washington DC,Eastern Time (US & Canada)
1894,No candidate mentioned,1,yes,1,Neutral,1,None of the above,0.6533,,vittmarchegiani,,0,,,"BEST. POST. EVER. 10 wtf quotes from last night’s gop debate, gif-edhttp://www.nylon.com/articles/gop-debate-quotes via @nylonmag #GOPDebate",,8/7/2015 9:36,6.29693E+17,,Rome
1895,Donald Trump,0.4471,yes,0.6687,Neutral,0.3714,None of the above,0.4471,,dipeshbh,,42,,,RT @Writeintrump: #GOPDebate After Party Update: I'm still waiting for Ben Carson to introduce me to those twins he bragged about.  I hope …,,8/7/2015 9:36,6.29693E+17,"San Mateo, CA",
1896,Donald Trump,1,yes,1,Negative,1,None of the above,1,,smartvalueblog,,1,,,"RT @DebbyRevere: @realDonaldTrump @smartvalueblog #trump said he wasn't preparing &amp; true enuff you could tell. #GOPDebate take run serious,…",,8/7/2015 9:36,6.29693E+17,USA,Eastern Time (US & Canada)
1897,No candidate mentioned,0.4272,yes,0.6536,Negative,0.3397,Religion,0.4272,,sadatnj,,32,,,RT @saradmahmoud: #GOPDebate and the islamophobia begins.,,8/7/2015 9:36,6.29693E+17,,
1898,Donald Trump,0.4422,yes,0.665,Negative,0.665,FOX News or Moderators,0.233,,SkyNebulaWmn,,0,,,@realDonaldTrump whaah 😭😭 @megynkelly &amp; #foxnews was unfair to me They shouldn't ask questions about what I say 😭😭 #gopdebate,,8/7/2015 9:36,6.29693E+17,Michigan,Quito
1899,No candidate mentioned,0.4541,yes,0.6738,Negative,0.3487,None of the above,0.4541,,blondielove27,,1,,,RT @jordanadolph: same. seriously though. #GOPDebate  https://t.co/GEXpvd1vB0,,8/7/2015 9:36,6.29693E+17,,Pacific Time (US & Canada)
1900,Jeb Bush,0.4539,yes,0.6737,Neutral,0.3368,None of the above,0.4539,,SissyWillis,,1,,,RT @DaTechGuyblog: Advice to each GOP candidate in order of how I think they finished 10th place Jeb Bush Get a pulse in a hurry #gopdebate…,,8/7/2015 9:36,6.29693E+17,"Chelsea, MA",Eastern Time (US & Canada)
1901,Donald Trump,0.4251,yes,0.652,Negative,0.652,FOX News or Moderators,0.4251,,DNchef,,1,,,@jjauthor @yewkalaylee @learjetter @megynkelly @realDonaldTrump ...whether you support him or not. it was shameful. #GOPDebate,,8/7/2015 9:36,6.29693E+17,,Eastern Time (US & Canada)
1902,Ted Cruz,0.2335,yes,0.6778,Positive,0.3444,None of the above,0.4594,,daniel_rusman,,808,,,"RT @tedcruz: We've seen a lot of campaign conservatives, but if we're going to win in 2016, we need a consistent conservative. #GOPDebate #…",,8/7/2015 9:36,6.29693E+17,,
1903,No candidate mentioned,1,yes,1,Neutral,0.6629,None of the above,1,,ChadChitwood,,0,,,I've picked up 4 followers focused on reduced cost Ray-Bans in the past 24 hours. Who knew Ray-Ban bots were so into #gopdebate jokes.,,8/7/2015 9:36,6.29693E+17,"Washington, DC",Eastern Time (US & Canada)
1904,Ben Carson,1,yes,1,Positive,1,None of the above,1,,StephenFeather,,0,,,"Ben Carson, Ted Cruz, and you-know-who won the Google search war http://t.co/tYQVy0Bhup

@realBenCarson #GOPDebate",,8/7/2015 9:36,6.29693E+17,"Fayette County, GA",Eastern Time (US & Canada)
1905,No candidate mentioned,1,yes,1,Neutral,0.6667,None of the above,1,,gidget2114,,48,,,"RT @RickCanton: Are there any Democrats running, @HillaryClinton? 

All I see are Socialists. 

#GOPDebate #OhHillNo #UniteBlue #WhyImNotVo…",,8/7/2015 9:36,6.29693E+17,Texas,Eastern Time (US & Canada)
1906,No candidate mentioned,1,yes,1,Negative,1,FOX News or Moderators,0.6546,,Reds417,,1,,,"RT @pizzapimp812: Rly disappointed in the questioning. All aimed at provoking fights between, rather than learning what each candidate plan…",,8/7/2015 9:36,6.29693E+17,,
1907,No candidate mentioned,1,yes,1,Positive,1,None of the above,1,,Todd_Spencer,,12,,,"RT @Polarinski: I have no doubt #CarlyFiorina has the stones to lead this country in a better direction.
 #GOPDebate",,8/7/2015 9:36,6.29693E+17,,Eastern Time (US & Canada)
1908,No candidate mentioned,1,yes,1,Negative,0.6539,None of the above,1,,Laura_Coffee,,0,,,Watching the #GOPDebate this morning. It's incredibly clear that none of these people care about me at all.,,8/7/2015 9:36,6.29693E+17,,
1909,Donald Trump,0.6813,yes,1,Neutral,0.6923,FOX News or Moderators,0.3736,,travelinreid,,1,,,RT @AnjDelgado: Check out how @washingtonpost used @Genius to annotate last night's #GOPDebate http://t.co/f3GU92M8PL @wendygreen_ @traveli…,,8/7/2015 9:36,6.29693E+17,Detroit,Pacific Time (US & Canada)
1910,Donald Trump,1,yes,1,Negative,1,FOX News or Moderators,1,,snarkyremark,,0,,,"Based on his rhetoric, I assume when Donald Trump looks at Megyn Kelly, he sees Miss Piggy.

#GOPDebate",,8/7/2015 9:36,6.29693E+17,San Francisco,Pacific Time (US & Canada)
1911,Donald Trump,0.4491,yes,0.6701,Negative,0.6701,None of the above,0.2287,,CalexQuint,,0,,,"Trump invites Hillary Clinton to his (3rd) wedding... but blasts Megyn Kelly during/after the debate.

And he's a ""Republican""??? #GOPDebate",,8/7/2015 9:36,6.29693E+17,"My heart lives in Ibiza, Spain",Central Time (US & Canada)
1912,No candidate mentioned,1,yes,1,Negative,0.6921,None of the above,1,,thevelvetsun,,52,,,RT @ykhong: Instagram shut @dreamdefenders acct for posting real quotes from #GOPdebate w/ #KKKorGOP. Someone tell Instagram they're on the…,,8/7/2015 9:36,6.29693E+17,"Ellensburg, WA",Pacific Time (US & Canada)
1913,Donald Trump,1,yes,1,Negative,0.6889,Immigration,0.6758,,JusBeeingAround,,302,,,RT @Daenerys: Donald Trump got The Wall idea from Game of Thrones. #GOPDebate,,8/7/2015 9:36,6.29693E+17,Earth,Bern
1914,Marco Rubio,1,yes,1,Positive,0.686,None of the above,0.686,,SharonDalene,,42,,,RT @ChadPergram: Rubio: God has blessed the Republicans with some very kind candidates. The Democrats can't even find one. #GOPDebate,,8/7/2015 9:36,6.29693E+17,,
1915,No candidate mentioned,0.3964,yes,0.6296,Negative,0.6296,None of the above,0.3964,,SableViews,,3,,,"RT @jaguarjin: #GOPDebate was more of  reality show- ""So who isn't qualified to be POTUS"" @dthomicide @Leslieks @pharris830 @stphil",,8/7/2015 9:36,6.29693E+17,"rural Wisconsin, USA",Central Time (US & Canada)
1916,No candidate mentioned,0.4061,yes,0.6372,Neutral,0.6372,None of the above,0.4061,,lylemutter,,475,,,RT @totalgolfmove: All I want to know about the #GOPDebate is who is in favor for making The Masters a national holiday,,8/7/2015 9:36,6.29693E+17,"Blacksburg & Grundy, Virginia",Eastern Time (US & Canada)
1917,Donald Trump,0.4395,yes,0.6629,Negative,0.6629,None of the above,0.4395,,zombeewolf,,12,,,"RT @StudyingLiberty: Apparently Trump, the ""tell it like it is"" guy, can't handle some tough questions that point out his utter hypocrisy. …",,8/7/2015 9:36,6.29693E+17,"Nashville, Tennessee",Central Time (US & Canada)
